expected_onset_to_arrival_time,total,haemo,lvo,nlvo,no_treatment,haemo_no_treatment,lvo_no_treatment,nlvo_no_treatment,mt,ivt,ivt_mt,lvo_ivt,nlvo_ivt,lvo_ivt_only,lvo_mt_only,lvo_ivt_mt,nlvo_ivt_only,nlvo_mt_only,nlvo_ivt_mt,mt_also_ivt,ivt_also_lvo
1,18826.0,0.15207691490491873,0.31971741208966326,0.528205673005418,0.5965154573462234,0.15207691490491873,0.10899819398703921,0.3354403484542654,0.03983852119409328,0.3930734091150537,0.029427387655370233,0.20030808456390098,0.19276532455115267,0.17088069690853075,0.010411133538723043,0.029427387655370233,0.19276532455115267,0.0,0.0,0.7386666666666667,0.5095945945945946
2,82627.0,0.1524078085855713,0.28677066818352354,0.5608215232309052,0.6445592844953829,0.1524078085855713,0.11536180667336343,0.37678966923644813,0.03134568603483123,0.3475256272162852,0.02343059774649933,0.1634937732218282,0.184031853994457,0.1400631754753289,0.0079150882883319,0.02343059774649933,0.184031853994457,0.0,0.0,0.7474903474903475,0.47045098380637296
3,117084.0,0.14896142940111373,0.263375012811315,0.5876635577875713,0.6758822725564552,0.14896142940111373,0.11378155853916846,0.413139284616173,0.02718561033104438,0.31684090055003244,0.019908783437532027,0.14231662737863415,0.17452427317139832,0.12240784394110212,0.00727682689351235,0.019908783437532027,0.17452427317139832,0.0,0.0,0.7323279924599434,0.4491737876378144
4,136654.0,0.14624526175596764,0.25161356418399755,0.6021411740600349,0.6995111742063899,0.14624526175596764,0.11445694966850586,0.4388089627819164,0.025546270142110732,0.29311253238104995,0.018169976729550542,0.1297803211029315,0.16333221127811845,0.11161034437338095,0.007376293412560188,0.018169976729550542,0.16333221127811845,0.0,0.0,0.711257519335434,0.4427661964798402
5,149585.0,0.14361734131096032,0.24444964401510846,0.6119330146739312,0.722412006551459,0.14361734131096032,0.11732459805461777,0.46147006718588096,0.024407527492729886,0.2700003342581141,0.01681986830230304,0.11953738677006384,0.15046294748805028,0.10271751846776081,0.007587659190426848,0.01681986830230304,0.15046294748805028,0.0,0.0,0.6891262667762257,0.4427305140140636
6,159393.0,0.14141775360273035,0.23899418418625662,0.619588062211013,0.7386208930128676,0.14141775360273035,0.11913948542282284,0.4780636539873144,0.02335108819082394,0.25389446211565125,0.015866443319342758,0.11237005389195259,0.14152440822369866,0.09650361057260984,0.007484644871481182,0.015866443319342758,0.14152440822369866,0.0,0.0,0.6794734013970983,0.44258568286836836
7,166891.0,0.1397678724436908,0.23466214475316224,0.625569982803147,0.7498307278403269,0.1397678724436908,0.1198327051788293,0.49023015021780686,0.022601578275640986,0.24275125680833598,0.015183562924303886,0.10741142422299585,0.13533983258534013,0.09222786129869195,0.0074180153513371,0.015183562924303886,0.13533983258534013,0.0,0.0,0.6717921527041357,0.4424752548564658
8,172775.0,0.13845753147156706,0.23131818839531182,0.6302242801331212,0.7580494863261468,0.13845753147156706,0.12016206048328751,0.49942989437129215,0.021999710606279844,0.23462306467949645,0.014672261611923022,0.10382867891766749,0.13079438576182897,0.08915641730574446,0.007327448994356823,0.014672261611923022,0.13079438576182897,0.0,0.0,0.6669297553275454,0.4425339813010336
9,177699.0,0.13725457093174412,0.22838057614280327,0.6343648529254526,0.76459631174064,0.13725457093174412,0.12018075509710241,0.5071609857117936,0.02149702586958846,0.22817235887652715,0.014265696486755694,0.10096849166286812,0.12720386721365906,0.08670279517611242,0.007231329382832768,0.014265696486755694,0.12720386721365906,0.0,0.0,0.6636125654450262,0.4425097420214078
10,182045.0,0.13643879260622374,0.22600455931225796,0.6375566480815184,0.7699469911285671,0.13643879260622374,0.12016809030734159,0.5133401082150018,0.021165096542063777,0.2228240270262847,0.013936114696915598,0.09860748715976819,0.12421653986651653,0.0846713724628526,0.007228981845148178,0.013936114696915598,0.12421653986651653,0.0,0.0,0.6584479626265248,0.4425352529336357
